feature,importance_mean,importance_std
fwd_pkt_len_mean,0.024405323668670632,0.0018902861205267896
tot_bwd_pkts,0.0111538906549842,0.000337804444501032
bwd_pkts_s,0.010662428561612392,0.0005867691874357317
bwd_pkt_len_std,0.009272114541428355,0.0017444436432611744
totlen_bwd_pkts,0.009045308456760947,0.0005064866605919379
init_bwd_win_byts,0.007301633468032231,0.0009198637792207077
tot_fwd_pkts,0.005846417004752724,0.0003550147908937613
totlen_fwd_pkts,0.0048420514562967695,0.0010413235191782371
fwd_pkt_len_std,0.003022054040759348,0.0005972483570866274
init_fwd_win_byts,0.002786254074253325,0.00036594542417466773
flow_iat_std,0.002683525613293991,0.0006083451418678945
idle_mean,0.002399160931380462,1.9219086824394157e-05
ack_flag_cnt,0.0023198531889456085,0.0005124034273122443
active_mean,0.0018173524142849119,2.9786672786009852e-05
flow_pkts_s,0.0015148635719494541,0.0007439631532026347
bwd_pkt_len_mean,0.0006524143487132372,0.0004333371282900294
protocol,0.00025327058656541277,9.792545829018096e-06
syn_flag_cnt,0.0,0.0
pkt_len_mean,-0.0032386668128751685,0.0003278785254358827
fwd_pkts_s,-0.007519811651338082,0.0010039182803280632
flow_byts_s,-0.008020574027677085,0.0007754801522681313
flow_iat_mean,-0.016506066846245736,0.0015966432686393233
flow_iat_min,-0.03533399607422858,0.002570964485281997
flow_iat_max,-0.051351727155168225,0.002041369612911619
pkt_len_var,-0.06058374313642787,0.001707221517987424
flow_duration,-0.07417641845826609,0.0021231248669175066
pkt_len_std,-0.08270342201683985,0.00224852833787402
