model,split,precision,recall,f1,balanced_accuracy,roc_auc,pr_auc,false_positive_rate,inference_seconds,rows,threshold
majority_baseline,validation,0.0,0.0,0.0,0.5,0.5,0.375,0.0,0.0013217000014265068,4000,0.5
majority_baseline,test,0.0,0.0,0.0,0.5,0.5,0.5257070760172432,0.0,0.00556710000091698,19022,0.5
decision_tree,validation,0.9809960681520314,0.998,0.9894249834765367,0.9932,0.9987882666666666,0.9962013149549719,0.0116,0.0015681000004406087,4000,0.5263157894736841
decision_tree,test,0.5633802816901409,0.004,0.007943600436898023,0.5002819773886056,0.6670011305697184,0.6816576883972418,0.003436045222788739,0.006505400000605732,19022,0.5263157894736841
random_forest,validation,0.9966755319148937,0.9993333333333333,0.9980026631158455,0.9986666666666666,0.9999720000000001,0.9999529374017421,0.002,0.023492000000260305,4000,0.5468471200350723
random_forest,test,0.75,0.0006,0.001199040767386091,0.5001891598315229,0.5947497450676125,0.7588829174501073,0.00022168033695411216,0.0555845999988378,19022,0.5468471200350723
